,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12157,432,0.8994865,7.6423868,No,No,No,Cereals
12158,276,1.0440507,7.814596,No,No,No,Cereals
12159,264,1.0430582,7.8159369,No,No,No,Cereals
12160,235,1.1978758,7.6148591,No,No,No,Cereals
12161,233,1.2060794,7.6147254,No,No,No,Pulses
12162,318,0.8613179,7.3941318,No,No,No,Cereals
12163,351,0.8628732,7.3839632,No,No,No,Cereals
12166,284,1.040905,7.8117805,No,No,No,Cereals
12167,277,1.0400218,7.8141203,No,No,No,Cereals
12168,268,1.2955583,7.9588737,No,No,No,Cereals
12169,284,1.0409491,7.811498,No,No,No,Cereals
12170,270,1.2943669,7.9578439,No,No,No,Cereals
12171,255,1.2888517,7.9626306,No,No,No,Cereals
12172,268,1.2954969,7.964448,No,No,No,Cereals
12173,272,1.6007299,7.8082592,No,No,No,Cereals
12174,266,1.6005243,7.8060627,No,No,No,Cereals
12175,265,1.5951447,7.8017265,No,No,No,Cereals
12176,261,1.5930763,7.8068738,No,No,No,Cereals
12177,231,1.5099365,8.1918166,No,No,No,Pulses
12178,247,1.5126354,8.1933836,No,No,No,Pulses
12179,269,1.5084223,8.1857115,No,No,No,Cereals
12180,261,1.5118733,8.1746533,No,No,No,Cereals
12181,188,0.9753223,6.991514,No,No,No,Roots and tubers
12182,185,0.9696524,6.99418,No,No,No,"Other crops (e.g., rubber)"
12183,191,0.9695676,6.9956893,No,No,No,"Other crops (e.g., rubber)"
12184,186,0.9777002,7.0009316,No,No,No,Cereals
12185,174,1.3884643,7.0150396,No,No,No,Oilcrops
12186,177,1.3938636,7.0172643,No,No,No,"Other crops (e.g., rubber)"
12189,133,1.271455,7.2362716,No,No,No,Cereals
12190,186,1.2614043,7.2354122,No,No,No,Cereals
12191,169,1.1746373,6.8968676,No,No,No,Roots and tubers
12192,171,1.1882703,6.9096803,No,No,No,Cereals
12193,175,1.1758346,6.8985979,No,No,No,Cereals
12194,183,1.2726488,7.2306547,No,No,No,Cereals
12195,168,1.1865147,6.9030131,No,No,No,Cereals
12196,194,1.2670803,7.2314859,No,No,No,Cereals
12197,1564,28.6640291,-26.9514694,No,No,No,Cereals
12198,1571,28.6656542,-26.9470343,No,No,No,Cereals
12205,1373,30.3628011,-27.1329124,No,No,No,Cereals
12206,1379,30.3620082,-27.1285246,No,No,No,Fodder plants
12207,1377,30.360338,-27.1315209,No,No,Yes,Fodder plants
12208,1364,30.362278,-27.1203644,No,No,Yes,Fibre crops
12217,1656,29.4732947,-27.0278109,No,No,Yes,Cereals
12218,1654,29.4782992,-27.0258819,No,No,Yes,Cereals
12219,1658,29.4783102,-27.0291273,No,No,Yes,Cereals
12220,1658,29.4803681,-27.030509,No,No,Yes,Cereals
12222,1659,29.4450357,-27.2389083,No,No,No,Cereals
12223,1650,29.4428132,-27.2371128,No,No,No,Fodder plants
